"variable","value","date"
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.82,2018-07-30 19:54:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.37,2018-07-30 19:54:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",18130.12149,2018-07-30 19:54:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",1615.500374,2018-07-30 19:54:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.81,2018-07-28 19:50:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.35,2018-07-28 19:50:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",12075.80208,2018-07-28 19:50:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",998.6651029,2018-07-28 19:50:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.8,2018-07-26 19:50:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.34,2018-07-26 19:50:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",8275.662729,2018-07-26 19:50:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",588.5262425,2018-07-26 19:50:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.37,2018-07-24 20:03:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.83,2018-07-24 20:03:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",4558.016774,2018-07-24 20:03:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",673.9958638,2018-07-24 20:03:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.36,2018-07-22 19:38:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.79,2018-07-22 19:38:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",3010.183645,2018-07-22 19:38:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",469.2221306,2018-07-22 19:38:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.8,2018-07-20 19:38:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.34,2018-07-20 19:38:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",1704.878429,2018-07-20 19:38:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",368.6081425,2018-07-20 19:38:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.33,2018-07-18 20:03:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.81,2018-07-18 20:03:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",1038.640511,2018-07-18 20:03:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",294.1287752,2018-07-18 20:03:00
"http://opensilex.test/id/variable/plant_maximumquantumyield_computation_unitless",0.8,2018-07-16 18:15:00
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless",0.28,2018-07-16 18:15:00
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre",775.9911685,2018-07-16 18:15:00
"http://opensilex.test/id/variable/plant_perimeter_imageprocessing_millimetre",270.8678687,2018-07-16 18:15:00
