"id","label"
"http://www.phenome-fppn.fr/m3p/ec1","growth chamber A"
"http://www.phenome-fppn.fr/m3p/ec2","growth chamber E"
"http://opensilex.test/id/organization/facility.growth_chamber_1","growth chamber 1"
"http://opensilex.test/id/organization/facility.phenobean-2","Phenobean-2"
"http://opensilex.test/id/organization/facility.plantscreen_compact_system","PlantScreen™ Compact System"
"http://opensilex.test/id/organization/facility.parcelle_1","Parcelle 1"
"http://opensilex.test/id/organization/facility.mac3","mac3"
"http://opensilex.test/id/organization/facility.mac1","mac1"
"http://opensilex.test/id/organization/facility.corroy_18-19","Corroy 18-19"
"http://opensilex.test/id/organization/facility.quinta_da_saudade_-_palato_-_douro","Quinta da Saudade - Palato - Douro"
"http://www.phenome-fppn.fr/m3p/es1","greenhouse 1"
"http://www.phenome-fppn.fr/m3p/es2","greenhouse"
"http://www.phenome-fppn.fr/m3p/eg1","greenhouse 0"
"test:id/organization/facility.mac2","Mac2"
"http://opensilex.test/id/organization/facility.plantscreen_modular_system","PlantScreen™ Modular System"
"http://opensilex.test/id/organization/facility.phenoarch","Phenoarch"
