"uri","name","entity","characteristic","method","unit"
"http://opensilex.test/id/variable/air_co2_ppm","Air_co2_ppm","Air","co2","Duration Hourly Computation","particule per meter"
"http://opensilex.test/id/variable/air_humidity_datalogging_percent","Air_Humidity_Datalogging_percent","Air","Humidity","Datalogging","percent"
"http://opensilex.test/id/variable/air_humidity_weatherstation_percent","Air_Humidity_WeatherStation_percent","Air","Humidity","WeatherStation","percent"
"http://opensilex.test/id/variable/air_temperature","Air_Temperature","Air","Temperature","Computation","degree Celsius"
"http://opensilex.test/id/variable/air_temperature_datalogging_degreecelsius","Air_Temperature_Datalogging_degreeCelsius","Air","Temperature","Datalogging","degree Celsius"
"http://opensilex.test/id/variable/apples_sugar_content_refractometer_measure_brix","apples_Sugar content_Refractometer measure_Brix","apples","Sugar content","Refractometer measure","Brix"
"http://opensilex.test/id/variable/canes_area_alcoholnirsanalyser_centimetre","Canes_Area_AlcoholNIRSAnalyser_Centimetre","Canes","Area","Alcohol_NIRS_analyser","centimetre"
"http://opensilex.test/id/variable/canopy_fresh_grain_yield_computation_kilogram_per_hectare","canopy_Fresh_Grain_Yield_Computation_kilogram per hectare","canopy","Fresh_Grain_Yield","Computation","kilogram per hectare"
"http://opensilex.test/id/variable/canopy_grain_weight_measurement_gram","canopy_Grain weight_Measurement_gram","canopy","Grain weight","Measurement","gram"
"http://opensilex.test/id/variable/canopy_grain_weight_sorting_gram","canopy_Grain weight_Sorting_gram","canopy","Grain weight","Sorting","gram"
"http://opensilex.test/id/variable/canopy_grain_yield_computation_kilogram_per_hectare","canopy_Grain yield_Computation_kilogram per hectare","canopy","Grain yield","Computation","kilogram per hectare"
"http://opensilex.test/id/variable/canopy_grain_yield_sorting_kilogram_per_hectare","canopy_Grain yield_Sorting_kilogram per hectare","canopy","Grain yield","Sorting","kilogram per hectare"
"http://opensilex.test/id/variable/grain_dry_matter_computation_percent","grain_Dry_Matter_Computation_percent","grain","Dry_Matter","Computation","percent"
"http://opensilex.test/id/variable/grain_loss_computation_percent","grain_Loss_Computation_percent","grain","Loss","Computation","percent"
"http://opensilex.test/id/variable/harvest_length_measurement_metre","Harvest_Length_Measurement_metre","Harvest","Length","Measurement","metre"
"http://opensilex.test/id/variable/leaf_area_computation_pixel","Leaf_Area_Computation_Pixel","Leaf","Area","Computation","Pixel"
"http://opensilex.test/id/variable/leaf_area_imageanalysis_squaremeter","Leaf_Area_ImageAnalysis_squareMeter","Leaf","Area","image analysis IR based","square metre"
"http://opensilex.test/id/variable/plant_area_imageprocessing_squaremillimetre","plant_Area_ImageProcessing_squareMillimetre","plant","Area","ImageProcessing","square millimetre"
"http://opensilex.test/id/variable/plant_biomass_imageanalysis_grams","plant_Biomass_ImageAnalysis_grams","plant","Biomass","image analysis IR based","gram"
"http://opensilex.test/id/variable/plant_effectivequantumyield_computation_unitless","Plant_effectiveQuantumYield_Computation_Unitless","plant","yield","Computation","Unitless"
